ORF	     Peroxide 0m	    Peroxide 10m	    Peroxide 20m	    Peroxide 40m	    Peroxide 60m	   Peroxide 120m
YAL001C	          128.75	          125.10	           51.20	          116.00	           35.40	            NULL
YAL002W	            NULL	            NULL	            NULL	           33.20	            NULL	            NULL
YAL003W	         9532.60	         5209.20	         3662.20	         2461.00	         1122.00	         5519.80
YAL004W	           61.15	            NULL	           12.60	            NULL	           13.20	            NULL
YAL005C	         3373.00	         4609.10	         4430.40	         3912.90	         2719.50	         3414.40
YAL007C	          342.30	          289.90	          189.10	          203.30	           86.00	          187.20
YAL008W	          167.85	          297.30	          335.90	          328.90	          191.90	          232.50
YAL009W	           84.90	           63.60	           67.50	           85.00	           44.80	          115.80
YAL010C	           66.30	           61.20	           49.70	           79.10	           82.80	           91.90
YAL011W	          166.80	            NULL	           34.90	           76.10	           43.30	          156.20
YAL012W	         3494.10	         2973.40	         2472.90	         2669.40	         2513.90	         1823.40
YAL013W	          224.45	          223.50	          101.60	          135.20	          147.70	          139.60
YAL014C	          258.55	          277.60	          272.10	          280.10	          264.70	          192.00
YAL015C	          112.00	          132.50	          165.40	          258.00	          191.90	            NULL
YAL016W	          590.45	          558.00	          589.50	          796.10	          369.10	          518.30
YAL017W	           73.80	            NULL	           67.50	          215.10	          166.60	           94.30
YAL018C	            0.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL019W	          116.15	           88.20	            2.20	           11.00	           36.90	           61.00
YAL020C	           58.80	           71.00	           42.30	           43.60	           67.00	           58.60
YAL021C	          201.45	          130.00	          126.80	          145.60	           97.00	          163.40
YAL022C	          188.25	            NULL	            NULL	           48.00	          120.80	          156.20
YAL023C	          857.60	          430.10	          264.70	          222.50	          166.60	          468.20
YAL024C	           37.50	            NULL	            NULL	            NULL	            NULL	            NULL
YAL025C	          323.65	           68.50	           26.00	            NULL	            NULL	          144.30
YAL026C	           12.10	           19.40	           15.60	           14.00	           19.50	            NULL
YAL027W	          105.00	           78.40	           98.60	          116.00	           76.50	           89.60
YAL028W	            NULL	           16.90	           52.70	           92.40	           65.40	            NULL
YAL029C	          267.25	          110.40	           83.80	           85.00	          109.70	          156.20
YAL030W	          576.05	          521.10	          754.10	          964.70	          908.50	          673.10
YAL031C	           91.70	            NULL	           73.40	          136.70	           21.10	            NULL
YAL032C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL033W	          160.30	          139.90	           80.80	           65.80	            NULL	          177.70
YAL034C	            8.80	            NULL	           46.70	           68.70	           73.30	            NULL
YAL034W-A	           10.50	            NULL	            NULL	            NULL	            3.70	            0.00
YAL035C-A	            NULL	            NULL	            0.00	            NULL	            NULL	            8.60
YAL035W	         1315.80	          848.30	          426.40	          376.20	          397.60	          954.10
YAL036C	          441.45	          184.20	           61.60	           27.30	           41.70	          339.60
