ORF	         Heat 0m	        Heat 15m	        Heat 30m	        Heat 45m	        Heat 60m	       Heat 120m
YAL001C	          100.30	          107.90	          188.20	          158.40	           65.60	            NULL
YAL002W	           28.00	           50.20	           92.90	          131.70	           86.80	           97.80
YAL003W	         8307.50	         7510.40	         7266.20	         7109.00	         7331.70	         6448.40
YAL004W	           11.80	           81.30	          138.60	           34.70	           15.90	          100.30
YAL005C	         1585.40	         4165.50	         6126.80	         4803.20	         4213.30	         5545.60
YAL007C	          342.25	          565.60	          850.90	         1078.90	          573.80	          666.70
YAL008W	           68.35	          437.70	          416.90	          450.00	          284.70	          452.90
YAL009W	           74.60	          195.90	          118.20	          201.30	          201.90	          172.60
YAL010C	           50.20	          100.50	           62.70	          104.30	          109.80	          156.30
YAL011W	          155.00	          207.00	          288.50	          157.70	          203.70	          179.10
YAL012W	         4406.50	         3959.20	         5250.10	         4796.70	         5179.10	         3536.80
YAL013W	          240.55	          308.30	          306.00	          253.40	          399.80	          263.60
YAL014C	          316.20	          468.00	          470.40	          552.20	          570.20	          521.20
YAL015C	           76.60	          266.90	          274.80	          314.60	          282.00	          326.20
YAL016W	          713.55	         1194.00	         1388.00	         1254.60	          912.70	         1246.90
YAL017W	           55.80	          285.40	            NULL	          154.50	          130.10	          271.70
YAL018C	            NULL	            NULL	            NULL	            NULL	            NULL	           14.10
YAL019W	          225.95	          185.50	          489.90	          513.20	          408.10	          407.40
YAL020C	          130.30	          257.30	          333.20	          325.00	          342.70	          304.20
YAL021C	          359.60	          418.40	          363.40	          589.30	          348.30	          443.20
YAL022C	          240.05	          340.10	          464.60	          401.20	          347.40	          301.00
YAL023C	          958.95	         1233.20	         1964.10	         1877.00	         1654.70	         1146.10
YAL024C	           21.90	           28.10	            NULL	           50.30	           39.80	          149.80
YAL025C	          515.70	          439.90	          868.40	          954.50	          854.60	          790.20
YAL026C	           30.20	           97.60	          161.00	          205.90	           61.00	           45.80
YAL027W	          119.55	          248.40	          235.90	          270.30	          247.90	          295.30
YAL028W	           18.50	           51.70	           83.10	           70.50	           42.60	          124.60
YAL029C	          327.50	          185.50	          403.30	          377.10	          443.10	          260.40
YAL030W	          473.80	         1426.90	         1284.90	         1330.80	         1109.70	         1478.50
YAL031C	           79.40	          149.30	           86.10	            NULL	           87.70	          196.20
YAL032C	           47.00	           59.90	           54.00	           39.20	           37.10	           62.90
YAL033W	          235.90	          144.10	          349.80	          338.00	          276.50	          332.70
YAL034C	           32.75	           66.50	           56.90	           63.30	           28.80	            NULL
YAL034W-A	           22.00	           33.20	           87.00	           75.00	           52.70	          114.90
YAL035C-A	           11.00	            2.20	           39.40	            0.00	            0.00	            3.60
YAL035W	         2062.30	         1784.00	         2957.60	         3037.10	         2085.60	         2524.30
YAL036C	          584.05	          774.80	         1542.70	         1699.90	         1647.40	         1658.90
YAL037W	           44.25	           38.40	           59.80	           82.90	           87.70	          136.80
YAL038W	        11821.50	        13942.10	        17342.20	        14643.70	        11678.20	        15285.70
YAL039C	          876.65	         1806.20	         1727.60	         1662.20	         2726.40	         2148.10
YAL040C	          340.75	          569.30	          567.70	          687.60	          521.40	          887.70
YAL041W	          111.35	          190.70	          168.80	          164.90	          152.20	          150.60
YAL042W	          881.65	          869.50	         1077.60	         1269.60	         1249.60	         1132.30
YAL043C	          160.85	          359.30	          299.20	          327.00	          331.70	          462.70
YAL043C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL044C	          588.15	         2179.60	         2524.50	         1852.30	         1905.10	         1172.10
YAL045C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL046C	          209.90	          377.80	          257.30	          409.00	          460.60	          405.80
YAL047C	           37.95	           51.00	          104.60	           51.00	           58.30	           55.60
YAL048C	           24.50	           36.90	           57.80	           52.30	           45.40	           33.60
YAL049C	          657.70	         1528.20	         1394.80	         1199.30	         1192.50	         1160.70
