ORF	         NaCl 0m	        NaCl 15m	        NaCl 30m	        NaCl 45m	        NaCl 60m	       NaCl 120m
YAL001C	          174.00	          230.20	          299.90	          171.20	          184.80	            NULL
YAL002W	          333.00	          220.30	          541.50	          694.80	          394.10	            NULL
YAL003W	        15445.00	        11549.50	         9841.50	         6563.20	         8343.70	         6846.00
YAL004W	          202.00	          140.90	          633.50	          276.60	            NULL	            NULL
YAL005C	        29015.00	        22033.70	        20397.30	        32061.50	        41566.30	        27057.40
YAL007C	          627.00	          300.40	          602.90	          266.80	          466.90	          396.00
YAL008W	          219.00	          126.70	          723.30	            NULL	          312.20	            NULL
YAL009W	         1107.00	          791.00	         1379.10	         1048.90	         1184.30	          733.60
YAL010C	            NULL	            NULL	          217.00	          116.90	          204.50	            NULL
YAL011W	           78.00	            NULL	           70.50	            NULL	            NULL	            NULL
YAL012W	         6592.00	          783.20	          890.50	          616.60	          911.30	          281.00
YAL013W	         1035.00	          298.30	          482.40	          404.80	          297.00	          290.80
YAL014C	          726.00	          120.40	          239.30	          311.30	            NULL	            NULL
YAL015C	          136.00	          179.20	          462.50	          198.40	            NULL	            NULL
YAL016W	         2563.00	         1392.90	         2950.90	         3064.10	         3838.80	         2488.10
YAL017W	          577.00	          373.40	         1186.60	         1513.90	         1402.80	          924.50
YAL018C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL019W	          295.00	           70.00	           78.20	           96.20	          271.20	          202.70
YAL020C	          373.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL021C	          966.00	          197.60	          160.30	          213.60	          392.60	          146.40
YAL022C	         1269.00	          349.30	          371.20	          562.30	          633.70	          856.00
YAL023C	         7645.00	         1244.70	         1456.60	         2179.80	         3244.20	         2380.40
YAL024C	          135.00	            NULL	           55.90	            NULL	          183.30	            NULL
YAL025C	          475.00	          131.70	            NULL	            NULL	            NULL	            NULL
YAL026C	          445.00	          357.10	          309.10	          370.00	          463.90	          303.00
YAL027W	          274.00	          120.40	          292.20	          376.50	            NULL	            NULL
YAL028W	            NULL	          123.90	          477.80	          476.50	            NULL	            NULL
YAL029C	         1598.00	         1202.90	         1171.30	         1418.30	          856.70	          904.90
YAL030W	         2287.00	          842.00	         2018.90	         2739.30	         1245.00	            NULL
YAL031C	          689.00	          348.60	         1091.50	         1490.00	            NULL	          413.10
YAL032C	          160.00	            NULL	          234.70	            NULL	            NULL	            NULL
YAL033W	          392.00	          550.70	          341.30	          435.20	          231.80	            NULL
YAL034C	          330.00	          350.10	         1989.70	         1339.00	          236.30	          227.10
YAL034W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL035C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL035W	         4268.00	         1224.90	            NULL	          559.00	         1493.80	          701.80
YAL036C	         3941.00	          760.50	            NULL	            NULL	         1238.90	          503.60
YAL037W	            NULL	           62.90	            NULL	            NULL	            NULL	            NULL
YAL038W	        20456.00	        13029.10	        16252.00	        11901.40	        18805.10	        13513.80
YAL039C	         1447.00	          186.30	          310.60	          321.10	          313.70	            NULL
YAL040C	         1190.00	          152.30	          760.10	          619.80	          469.90	          329.90
YAL041W	          554.00	          174.20	          681.90	          464.50	          941.70	          312.80
YAL042W	         2843.00	          520.90	         1168.20	          677.40	         1060.00	          618.60
YAL043C	          703.00	            NULL	          309.10	          262.40	            NULL	            NULL
YAL043C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL044C	         9837.00	         6585.70	         5231.40	         4519.80	        10637.10	         7166.60
YAL045C	            NULL	            NULL	          141.10	          208.10	            NULL	            NULL
YAL046C	          740.00	          155.80	          217.00	          242.90	          275.80	          285.90
YAL047C	            NULL	           53.70	            NULL	            NULL	          306.10	            NULL
YAL048C	            NULL	            NULL	            NULL	            NULL	          192.40	          207.60
YAL049C	         1651.00	         1423.40	         1311.60	         1561.70	         2179.40	         1247.50
YAL051W	          345.00	          268.50	          125.00	          303.70	          353.10	          205.10
YAL053W	         1429.00	          703.10	         1500.30	         1637.70	         2106.60	         1399.20
YAL054C	          292.00	          205.40	          329.80	          494.90	            NULL	          425.30
YAL055W	          288.00	          132.40	          430.30	          430.80	          365.30	            NULL
YAL056W	          230.00	           64.40	          125.00	          326.50	            NULL	          170.90
YAL058C-A	          155.00	            NULL	           81.30	          198.40	          280.30	            NULL
YAL058W	            NULL	            NULL	          161.00	            NULL	            NULL	            NULL
YAL059W	         1513.00	          601.00	          345.90	          299.40	          422.90	          268.70
YAL060W	          565.00	         1051.90	         1775.00	         1088.10	          853.70	          381.30
YAL061W	          169.00	          637.90	         5727.70	         4361.20	         1554.40	          567.30
YAL062W	          224.00	            NULL	          161.00	          222.30	            NULL	            NULL
YAL063C	            NULL	          146.60	          173.30	          242.90	          219.70	            NULL
YAL064C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL064W	            NULL	            NULL	           12.20	            NULL	            NULL	            NULL
YAL064W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL065C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL066W	            NULL	           53.70	          234.70	            NULL	            NULL	            NULL
YAL067C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL068C	          941.00	          325.20	          553.00	          404.80	         1034.20	         1037.10
YAL069W	            NULL	            3.40	            NULL	            NULL	            NULL	            NULL
YAR002C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR002W	         1075.00	          664.10	         1055.40	          958.80	          793.00	          422.90
YAR003W	          576.00	          694.60	         1070.00	         1017.40	          727.80	            NULL
YAR007C	         1252.00	          705.90	         1126.00	         1750.70	         1424.00	          750.80
YAR008W	          561.00	          293.30	          205.50	          230.90	          233.30	          430.20
YAR009C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR010C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR014C	         1049.00	          459.20	          471.70	          756.70	          802.10	          493.80
YAR015W	         2329.00	          576.90	          236.20	            NULL	         1741.00	          452.30
YAR018C	            NULL	            NULL	            NULL	           64.70	          110.40	            NULL
YAR019C	            NULL	            NULL	           85.90	          116.90	          253.00	            NULL
YAR020C	         1304.00	          881.70	          444.80	          323.30	          541.20	          924.50
YAR023C	            NULL	            NULL	           47.50	            NULL	            NULL	            NULL
YAR027W	            NULL	          105.50	          290.70	          144.00	          289.40	            NULL
YAR028W	          426.00	          537.20	          331.30	          412.40	          433.50	            NULL
YAR029W	            NULL	           15.40	           83.60	            NULL	            NULL	            NULL
YAR030C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR031W	            NULL	           45.90	            NULL	            NULL	            NULL	            NULL
YAR033W	           33.00	            NULL	           44.40	            NULL	            NULL	            NULL
YAR035W	          306.00	            NULL	            NULL	            NULL	          322.80	            NULL
YAR042W	          186.00	            NULL	          105.80	          128.80	          248.50	          244.30
YAR044W	          135.00	            NULL	            NULL	            NULL	            NULL	          143.90
YAR047C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR050W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR053W	           75.00	            NULL	            NULL	           76.70	            NULL	            NULL
YAR060C	           55.00	            NULL	          123.40	            NULL	            NULL	            NULL
YAR061W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR062W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR066W	          295.00	           63.70	            NULL	            NULL	            NULL	            NULL
YAR068W	          668.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAR069C	            NULL	            NULL	            NULL	          216.80	            NULL	            NULL
YAR070C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR071W	        12128.00	         7379.70	         3026.80	         1358.60	         2152.10	         1741.80
YAR073W	          496.00	          711.60	          210.10	            NULL	          306.10	            NULL
YAR075W	         2111.00	         1113.60	          645.10	          544.90	          665.60	            NULL
YBL001C	          883.00	         1057.60	         2446.20	         2026.60	         5346.50	         3858.30
YBL002W	         4329.00	         2928.40	         3937.40	         4939.10	         3822.10	         4306.10
YBL003C	         4944.00	         3380.00	         5166.20	         6374.10	         6286.90	         4629.10
YBL004W	          179.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBL005W	          864.00	          484.70	          909.70	         1266.20	         1141.90	          838.90
YBL005W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL005W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
