ORF	     Sorbitol 0m	    Sorbitol 15m	    Sorbitol 30m	    Sorbitol 45m	    Sorbitol 90m	   Sorbitol 120m
YAL001C	          174.00	          155.40	          273.30	          260.90	            NULL	          236.00
YAL002W	          333.00	            NULL	          583.30	          361.30	          422.30	          224.60
YAL003W	        15445.00	        10116.00	         6690.10	         8815.10	        13998.70	        14355.80
YAL004W	          202.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL005C	        29015.00	        25504.70	        34248.10	        32162.60	        22030.50	        20633.50
YAL007C	          627.00	          228.40	          251.20	          246.00	          463.00	          662.10
YAL008W	          219.00	            NULL	            NULL	            NULL	            NULL	          169.70
YAL009W	         1107.00	          893.10	         1033.50	          980.10	         1015.80	          979.30
YAL010C	            NULL	           90.80	            NULL	            NULL	          132.50	            NULL
YAL011W	           78.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL012W	         6592.00	         3490.40	         2714.20	         2220.30	         6161.30	         3518.00
YAL013W	         1035.00	          864.50	         1074.10	          700.50	          899.40	          840.40
YAL014C	          726.00	          255.10	          791.80	          551.30	          446.70	          435.10
YAL015C	          136.00	          269.00	          437.50	          113.00	            NULL	          141.70
YAL016W	         2563.00	         1629.00	         3160.70	         3461.90	         1809.60	         1255.00
YAL017W	          577.00	          325.30	         1153.40	          866.10	          397.80	          485.90
YAL018C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL019W	          295.00	            NULL	            NULL	          256.80	            NULL	          319.00
YAL020C	          373.00	           91.70	          548.20	          786.00	          276.80	          426.80
YAL021C	          966.00	          145.30	          651.60	          627.30	          586.40	          703.60
YAL022C	         1269.00	          585.70	          767.80	         1282.70	         1005.40	         1540.10
YAL023C	         7645.00	         3410.10	         3852.60	         6311.50	         5795.80	        10049.70
YAL024C	          135.00	            NULL	          164.50	            NULL	            NULL	          155.20
YAL025C	          475.00	          179.40	            NULL	          362.70	          394.30	          539.80
YAL026C	          445.00	          200.70	          308.40	          454.90	            NULL	          457.90
YAL027W	          274.00	            NULL	          441.20	          488.90	            NULL	          305.50
YAL028W	            NULL	          420.40	          758.60	          259.50	            NULL	          128.20
YAL029C	         1598.00	          773.10	         1308.40	         2019.50	         1679.20	         1713.20
YAL030W	         2287.00	         2240.20	         3516.80	         3949.10	         2222.80	         1731.90
YAL031C	          689.00	          418.60	          784.40	          851.20	          964.60	          878.70
YAL032C	          160.00	            NULL	          201.40	            NULL	          294.20	          321.00
YAL033W	          392.00	          162.80	          144.20	          279.90	            NULL	          447.50
YAL034C	          330.00	         1328.00	         1415.40	            NULL	            NULL	          311.70
YAL034W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL035C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL035W	         4268.00	          779.60	          985.50	         1301.70	         2687.10	         3138.60
YAL036C	         3941.00	          385.30	          409.90	            NULL	         2163.40	         2463.70
YAL037W	            NULL	          116.60	            NULL	            NULL	            NULL	            NULL
YAL038W	        20456.00	        16965.10	        19160.10	        15873.90	        20530.30	        19136.60
YAL039C	         1447.00	          883.00	         1481.80	          788.70	          779.60	          889.10
YAL040C	         1190.00	          518.30	          782.60	          370.80	          929.70	          675.60
YAL041W	          554.00	          488.70	          564.80	          410.20	          812.20	          649.70
YAL042W	         2843.00	         1269.90	         1649.70	         1269.10	         1836.40	         1794.10
YAL043C	          703.00	          442.60	          804.70	          366.70	          549.10	          358.40
YAL043C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL044C	         9837.00	         3242.90	         4195.70	         6079.50	         6256.70	         3801.00
YAL045C	            NULL	           89.90	            NULL	            NULL	            NULL	           98.20
YAL046C	          740.00	          211.70	          701.40	          414.20	          452.50	          345.90
YAL047C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL048C	            NULL	            NULL	          271.50	          231.00	            NULL	            NULL
YAL049C	         1651.00	          890.40	         1629.40	         1991.00	          733.00	         1263.30
YAL051W	          345.00	            NULL	          612.80	          526.80	          305.90	          321.00
YAL053W	         1429.00	         1124.90	         1278.80	         1645.00	         1318.40	         1783.70
YAL054C	          292.00	          239.40	          526.10	          346.40	            NULL	          243.30
YAL055W	          288.00	          286.50	          330.50	          526.80	            NULL	          208.10
YAL056W	          230.00	            NULL	          249.40	          251.40	            NULL	          263.00
YAL058C-A	          155.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL058W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL059W	         1513.00	          287.50	            NULL	         1005.80	         1233.50	         1342.10
YAL060W	          565.00	         1377.90	         1256.70	         1008.60	          497.90	          627.90
YAL061W	          169.00	         3433.10	         6516.70	         2012.70	          396.70	          838.30
YAL062W	          224.00	          236.70	          625.70	          533.60	            NULL	            NULL
YAL063C	            NULL	            NULL	          243.80	          361.30	            NULL	            NULL
YAL064C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL064W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL065C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL066W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL067C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL068C	          941.00	          606.00	          714.30	          543.10	         1223.00	         1379.40
YAL069W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR002C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR002W	         1075.00	          641.10	          889.60	         1296.20	         1098.50	         1117.20
YAR003W	          576.00	          671.60	          981.80	         1110.30	          688.80	          776.10
YAR007C	         1252.00	          684.50	         1503.90	         2331.60	         1181.10	         1351.40
YAR008W	          561.00	          294.80	            NULL	          714.10	          525.90	          727.40
YAR009C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR010C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR014C	         1049.00	          511.80	          765.90	         1345.10	          957.60	         1108.90
YAR015W	         2329.00	          531.20	         1007.60	         3603.00	         1507.00	         2242.90
YAR018C	            NULL	            NULL	            NULL	          168.60	            NULL	          199.80
YAR019C	            NULL	            NULL	            NULL	           85.80	            NULL	          141.70
YAR020C	         1304.00	         1101.80	          476.30	          662.50	         1034.50	         1624.10
YAR023C	            NULL	            NULL	            NULL	          125.20	            NULL	            NULL
YAR027W	            NULL	            NULL	            NULL	          103.50	            NULL	            NULL
YAR028W	          426.00	          284.70	            NULL	            NULL	          350.10	            NULL
YAR029W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR030C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR031W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR033W	           33.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAR035W	          306.00	            NULL	            NULL	            NULL	            NULL	          212.20
YAR042W	          186.00	          245.90	          249.40	          251.40	            NULL	            NULL
YAR044W	          135.00	            NULL	            NULL	          121.10	            NULL	            NULL
YAR047C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR050W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR053W	           75.00	           72.30	            NULL	            NULL	            NULL	            NULL
YAR060C	           55.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAR061W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR062W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR066W	          295.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAR068W	          668.00	            NULL	          594.40	          906.80	            NULL	          954.40
YAR069C	            NULL	            NULL	            NULL	           73.60	            NULL	            NULL
YAR070C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR071W	        12128.00	         4612.20	         1057.50	         2674.90	         9685.40	         5909.40
YAR073W	          496.00	          481.40	            NULL	          275.80	          253.50	          303.40
YAR075W	         2111.00	          998.40	          795.50	         1134.80	            NULL	            NULL
YBL001C	          883.00	          548.80	         1070.40	         2242.00	         1361.50	         1300.60
YBL002W	         4329.00	         2412.00	         5444.70	         5262.60	         7438.00	         5934.30
YBL003C	         4944.00	         2048.20	         4893.10	         5433.60	         6567.40	         5862.80
YBL004W	          179.00	            NULL	            NULL	            NULL	            NULL	          112.70
YBL005W	          864.00	          403.80	         1555.60	         1765.70	         1035.60	         1200.10
YBL005W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL005W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL006C	         1987.00	         1369.60	         3051.80	         4554.30	         2639.40	         2777.80
YBL007C	         1109.00	          740.80	         1592.50	         3126.80	         1342.90	         1707.00
YBL008W	            NULL	            NULL	            NULL	          308.40	            NULL	          250.60
YBL009W	          382.00	            NULL	            NULL	          351.80	          444.40	          347.00
YBL010C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL011W	          751.00	          713.10	          926.50	         1486.20	         1289.30	         1189.70
YBL012C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL013W	            NULL	          327.20	          238.30	            NULL	            NULL	            NULL
YBL014C	          351.00	          336.40	            NULL	          526.80	          506.10	          584.30
