ORF	diamide 5m	diamide 10m	diamide 20m	diamide 30m	diamide 40m	diamide 50m	diamide 60m	diamide 90m
YAL001C	0.07	0.15	0.14	0.15	-0.11	0.07	-0.41	-0.2
YAL002W	0.14	0.14	0.18	0.14	0.17	0.13	0.07	0.05
YAL003W	0.46	0.33	0.04	-0.6	-0.64	-0.51	-0.36	-0.1
YAL004W	0.61	0.88	1	0.35	0.67	0.6	0.78	0.46
YAL005C	0.86	1.19	1.58	0.93	1	0.85	1.24	1.06
YAL007C	0.12	0.49	0.62	0.49	0.84	0.89	1.08	0.87
YAL008W	0.49	1.01	1.33	1.23	1.32	1.03	1.14	0.68
YAL009W	0.14	0.43	0.82	0.38	0.31	0.27	0.31	0.14
YAL010C	0.15	0.18	0.43	0.24	0.43	0.28	0.21	0.23
YAL011W	-0.17	-0.23	-0.27	-0.09	-0.14	-0.18	-0.17	-0.23
YAL012W	0.83	1.1	1.23	1.01	0.88	0.9	0.84	0.46
YAL013W	-0.04	0.18	0.34	0.06	0.53	0.26	0.57	0.21
YAL014C	0.42	0.5	0.71	0.58	0.82	0.64	1.23	0.42
YAL015C	-0.07	0.58	0.8	0.9	0.99	0.96	0.8	0.37
YAL016W	0.31	0.44	0.7	0.54	0.64	0.39	0.56	0.29
YAL017W	0.63	0.57	0.77	0.69	0.65	0.4	0.39	0.26
YAL018C	0.2	0.24	0.29	0.37	0.21	0.18	0.2	-0.09
YAL019W	-0.39	-0.43	-0.59	-0.48	-0.52	-0.17	-0.07	-0.09
YAL020C	0.04	0.06	0.1	0.22	-0.34	-0.32	0.06	-0.05
YAL021C	0.11	0.03	0.35	0.36	0.37	0.42	0.43	0.31
YAL022C	0.19	0.11	0.23	0.24	0.4	0.29	0.21	0.03
YAL023C	0.01	-0.34	-0.1	-0.15	-0.01	0.12	0.24	0.38
YAL024C	0.25	0.14	0.36	0.18	-0.05	-0.13	-0.67	-0.1
YAL025C	-0.92	-1.94	-2.4	-2.47	-1.79	-1.03	-0.67	-0.64
YAL026C	0.21	0.23	0.23	-0.04	-0.14	0.01	-0.1	-0.14
YAL027W	-0.01	0.19	0.34	0.1	0.14	0.2	0.14	-0.04
YAL028W	0.32	0.42	0.72	0.79	0.75	0.67	0.65	0.33
YAL029C	-0.12	-0.01	-0.08	-0.27	-0.23	-0.11	-0.24	-0.15
YAL030W	0.15	0.57	0.64	0.44	0.52	0.38	0.28	0.08
YAL031C	0.28	0.33	0.41	0.14	0.23	0.08	-0.18	0.1
YAL032C	-0.1	0.03	0.14	-0.09	0.04	-0.17	-0.1	-0.07
YAL033W	0.21	0.23	0.08	-0.17	-0.1	-0.16	-0.18	-
YAL034C	0.29	0.37	0.73	0.84	0.52	0.32	0.73	0.55
YAL034W-A	0.12	0.11	0.06	-0.17	0.01	-0.06	-0.04	-0.07
YAL035C-A	-0.14	-0.29	-0.23	-0.47	-0.42	-0.43	-0.51	-0.45
YAL035W	-0.74	-0.77	-0.66	-0.97	-0.48	-0.63	-0.42	-0.45
YAL036C	-0.15	-0.69	-0.94	-0.89	-0.74	-0.47	-0.15	-0.04
YAL037W	-0.47	-0.4	-0.36	-0.29	-0.25	-0.45	-	-0.09
YAL038W	0.46	0.33	-0.06	-0.22	-0.17	-0.06	0.46	-0.07
YAL039C	0.32	0.86	1.24	0.76	1.28	0.7	0.85	0.07
YAL040C	-	0.11	0.23	0.28	0.18	-0.25	-0.45	-0.42
YAL041W	-0.47	-0.34	-0.03	-0.25	0.06	-0.49	-0.22	-
YAL042W	0.38	0.28	0.15	0.21	0.18	0.04	0.14	0.01
YAL043C	-	-0.45	0.01	-0.04	0.03	-0.45	-0.25	-0.4
YAL043C-A	0.1	-0.49	-0.15	-0.07	-0.03	-0.22	-0.04	-0.27
YAL044C	0.41	0.57	0.36	0.42	0.53	0.54	0.55	0.32
YAL045C	0.11	0.26	0.39	0.31	0.51	0.31	0.59	0.29
YAL046C	0.23	0.15	0.01	-0.18	-0.54	0.06	0.12	0.03
YAL047C	-0.58	-0.47	-0.32	-0.45	-0.25	-0.3	-0.29	-0.18
YAL048C	0.14	-0.04	0.08	-0.01	-0.07	-0.1	0.15	0.15
YAL049C	0.18	0.43	0.48	0.5	0.63	0.42	0.39	-0.01
YAL051W	-0.04	0.01	0.09	-0.01	-0.11	0.01	-0.13	-0.29
YAL053W	0.04	-0.22	-0.09	0.22	0.17	0.22	0.95	-0.08
YAL054C	0.26	0.26	0.25	0.83	0.38	0.21	0.04	-0.12
YAL055W	0.06	0.31	0.41	0.39	0.39	0.38	0.1	0.1
YAL056W	0.23	0.14	0.13	-0.02	-0.03	-0.13	-0.28	-0.24
YAL058C-A	-	-	-	0.87	-	-	-	-
YAL058W	-0.24	-0.43	0.07	-0.14	-0.59	-0.59	-0.36	-0.48
YAL059W	-0.54	-1.12	-1.43	-2	-1.03	-1.29	-1.09	-0.69
YAL060W	0.58	1.54	1.88	1.94	1.46	0.77	0.12	-0.43
YAL061W	0.92	1.96	2.63	1.9	1.02	0.95	0.77	0.01
YAL062W	0.18	0.24	0.37	0.21	0.06	-0.29	-0.36	-0.56
YAL063C	-0.08	0.06	0.04	0.41	-0.16	-0.07	-0.26	-0.01
YAL064C-A	-0.29	-0.17	0.15	0.19	0.31	-0.03	-0.23	-0.15
YAL064W	-	-0.2	-	-	-	-0.32	-0.69	-
YAL064W-B	-0.04	-0.04	0.12	0.2	0.23	0.03	0.11	0.2
YAL065C	0.01	0.09	0.22	0.26	0.17	0.21	0.08	0.08
YAL066W	-	0.01	-	-	-	0.58	0.52	-
YAL067C	-	0.18	0.03	0.03	-0.17	-0.12	-0.14	-0.1
YAL068C	-0.18	-0.15	-0.12	-0.2	-0.74	-0.17	0.1	0.15
YAL069W	0.08	-0.3	-0.04	-0.22	-0.15	-0.4	-0.36	-0.22
YAR002C-A	0.24	0.16	0.03	0.11	0.41	0.75	0.66	0.65
YAR002W	-0.09	-0.07	-0.34	-0.36	-0.15	-0.18	-0.2	-0.2
YAR003W	-0.49	-0.27	-	-0.18	-	-0.15	-	-
