ORF	H2O2 10m 	H2O2 20m 	H2O2 30m 	H2O2 40m	H2O2 50m 	H2O2 60m 	H2O2 80m 	H2O2 100m 	H2O2 120m 	H2O2 160m 
YAL001C	0.6	1.04	0.4	-0.04	0.36	0.23	-0.14	-0.09	0.15	-0.46
YAL002W	0.48	-	0.58	0.81	0.54	0.18	-0.11	0.03	0.1	-0.38
YAL003W	0.25	-	-1.29	-1.79	-	-	-0.45	-0.64	0.01	-0.58
YAL004W	0.55	0.5	1.83	1.79	0.01	0.24	-0.67	-0.85	-0.42	-0.37
YAL005C	0.46	0.25	0.77	0.93	-	-	-0.58	-0.67	-0.18	-0.56
YAL007C	0.65	0.58	0.86	2.05	0.3	0.33	-0.29	-0.23	-0.15	-0.32
YAL008W	0.98	0.51	0.62	-0.42	-	-	0.04	0.01	0.26	-0.51
YAL009W	0.67	0.38	-0.7	-0.09	0.32	-0.18	-0.14	-0.01	0.64	-0.46
YAL010C	0.95	1.09	-	1.81	-	-	-0.23	-0.25	-0.04	-0.47
YAL011W	-	-0.3	0.56	-0.01	-0.04	0.3	-	-	-	-
YAL012W	-	-	0.48	-0.2	-	-	-0.23	-0.2	0.08	-0.42
YAL013W	-	-	-	-0.94	-0.17	-	-	-	1	-
YAL014C	0.4	-0.32	0.65	-0.45	0.19	0.4	-0.6	-0.18	-0.43	-0.64
YAL015C	0.48	0.32	1.1	0.7	0.33	0.32	-0.49	-0.29	-0.45	-0.58
YAL016W	0.89	0.7	-	0.54	0.63	0.34	-0.38	-0.23	-0.32	-0.6
YAL017W	0.7	1.16	1.42	1.31	0.78	0.44	0.01	0.04	0.37	-0.26
YAL018C	0.38	-	-	-0.89	0.53	0.51	-0.49	-0.07	-0.29	-0.51
YAL019W	-0.36	0.11	-0.29	0.24	-0.08	0.15	-0.52	-0.26	-0.33	-0.51
YAL020C	0.16	0.88	0.35	-0.79	-0.27	0.08	-0.5	0.02	-0.13	-0.46
YAL021C	0.22	0.69	0.04	-	-0.2	0.55	-0.28	-0.14	-0.25	-0.59
YAL022C	0.64	-0.14	0.54	-0.71	0.36	-	-0.22	0.2	0.04	-0.29
YAL023C	0.4	-0.19	-0.22	-0.3	-0.25	0.12	-0.15	-1.17	2.11	-0.66
YAL024C	0.16	-0.18	0.24	-0.32	-0.15	-0.07	0.14	0.2	-0.85	-0.08
YAL025C	-	-	-	-1.6	-	-0.17	-	-	0.32	-
YAL026C	0.39	-0.1	0.32	-0.09	-0.17	-0.25	0.01	-0.62	0.21	0.18
YAL027W	-0.06	0.29	0.36	0.81	0.34	0.29	0.26	-0.06	0.06	0.25
YAL028W	0.12	0.33	0.36	0.57	-0.18	0.29	0.08	-0.2	-0.03	0.34
YAL029C	0.18	0.11	0.04	1.51	-0.05	-0.16	-0.13	-0.34	0.01	-0.16
YAL030W	-0.1	-0.03	0.01	-	0.52	0.25	0.34	-0.09	0.24	0.25
YAL031C	0.41	-0.32	-	-0.34	-0.04	-0.34	0.07	-0.45	0.28	0.25
YAL032C	-0.25	-0.18	-0.07	-0.2	-0.09	0.04	0.15	-0.27	-	-0.01
YAL033W	0.09	-0.49	-0.18	-0.17	-0.14	-0.28	0.9	-0.38	0.49	-0.17
YAL034C	0.1	-0.2	0.08	1.08	-0.09	-0.32	0.39	-0.1	0.32	0.31
YAL034W-A	0.86	0.31	1.08	-	-0.18	0.36	-0.22	-0.2	-0.47	-0.42
YAL035C-A	-0.3	-1.22	-0.71	-1.47	-0.86	-0.58	-0.06	0.11	-0.1	0.16
YAL035W	-0.17	-0.36	-	-	-0.35	-0.07	-0.3	-0.03	-0.25	-0.71
YAL036C	-0.84	-1.47	-1.36	-1.47	-0.86	-0.58	-0.15	-0.47	-0.06	-0.22
YAL037W	0.04	0.03	-0.01	-0.34	0.01	-0.34	0.21	-0.18	0.1	0.39
YAL038W	0.15	-0.71	-0.51	-0.81	-0.89	-0.23	-0.12	-0.45	0.03	0.14
YAL039C	-0.12	-0.34	-0.32	-0.42	-0.47	0.03	0.28	-0.03	0.1	0.3
