ORF	sorbitol 5m	sorbitol 15m	sorbitol 30m	sorbitol 45m 	sorbitol 60m	sorbitol 90m	sorbitol 120m
YAL001C	0.24	0.06	0.12	0.12	0.11	0.1	0.24
YAL002W	0.04	0.07	-0.01	0.03	0.05	0.02	0.12
YAL003W	0.13	-1.4	-1.17	-0.64	-0.16	-0.5	-0.47
YAL004W	0.09	-0.06	-0.35	0.08	-0.14	-0.32	-0.11
YAL005C	0.49	0.26	0.18	0.3	-0.09	-0.42	0.05
YAL007C	-0.18	-0.43	-0.39	-0.18	-0.02	0.01	0.2
YAL008W	0.23	0.17	0.2	0.15	0.05	0.01	0.09
YAL009W	-0.02	-0.02	-0.21	-0.1	0.02	0.07	0.09
YAL010C	0.09	0.51	0.27	-0.04	-0.1	-0.03	0.24
YAL011W	0.02	-0.17	-0.17	-0.1	-0.02	-0.17	-0.04
YAL012W	0.11	0.08	-0.65	-0.31	0.14	-0.37	-0.32
YAL013W	-	-0.23	-0.32	-0.08	-0.34	-0.3	-0.06
YAL014C	0.17	-0.12	-0.02	0.08	-0.01	0.04	-0.06
YAL015C	0.07	0.15	-0.11	0.01	-0.07	-0.12	-0.64
YAL016W	0.24	0.41	0.59	0.46	0.08	0.06	0.21
YAL017W	0.1	0.12	0.08	0.09	0.09	0.07	0.02
YAL018C	0.16	-0.09	-0.31	0.02	0.09	0.03	-0.09
YAL019W	-0.21	-0.27	-0.27	-0.06	-0.08	-0.12	-0.12
YAL020C	0.14	0.01	-0.02	0.09	0.05	0.15	-0.06
YAL021C	-0.15	-0.16	-0.11	-0.04	-0.15	-0.12	0.03
YAL022C	-0.02	-0.15	0.05	0.21	0.08	0.13	-0.12
YAL023C	-0.14	-0.29	-0.25	-0.03	0.02	-0.21	-0.01
YAL024C	-0.04	0.02	0.05	0.09	0.19	0.04	0.28
YAL025C	-0.74	-1.72	-0.43	-0.18	0.01	-0.07	-0.22
YAL026C	0.25	0.14	-	-0.15	0.07	-0.1	0.06
YAL027W	-0.1	0.26	0.28	0.02	-0.19	-0.2	-0.02
YAL028W	0.05	0.11	-0.06	0.05	-0.28	-0.4	-0.02
YAL029C	0.01	0.12	-0.09	-0.06	-0.04	-0.15	-0.01
YAL030W	0.09	0.07	0.07	-0.07	-0.25	-0.24	0.02
YAL031C	0.1	0.29	-0.03	-0.23	0.02	0.16	-0.04
YAL032C	0.05	-0.11	-0.33	-0.14	-0.09	-0.28	-0.04
YAL033W	0.12	0.03	-0.09	-0.12	0.04	-0.1	-0.01
YAL034C	0.23	0.7	-	-0.02	0.03	-0.06	-0.02
YAL034W-A	-0.3	-0.38	-0.32	-0.09	-0.15	-0.07	-
YAL035C-A	0.08	-0.38	-0.47	-0.38	-0.06	-0.29	-0.29
YAL035W	-0.34	-1.15	-0.45	-0.23	-0.24	-0.18	-0.38
YAL036C	-0.21	-1.08	-0.5	-0.19	-0.04	-0.24	-0.37
YAL037W	0.04	0.28	-	-0.05	-0.29	-0.36	-0.03
YAL038W	0.24	-0.5	-0.7	-0.08	-0.26	-0.47	-0.41
YAL039C	-0.09	-0.35	-0.31	-0.08	-0.29	-0.35	-0.29
YAL040C	0.3	0.17	-0.02	0.04	-	0.32	-0.05
YAL041W	0.06	-0.01	0.02	-0.08	-0.2	-0.36	-0.12
YAL042W	0.21	-0.27	-0.36	-0.16	-0.1	-0.11	-0.15
YAL043C	0.01	-0.35	-0.22	-0.01	-0.03	-0.2	-0.11
YAL043C-A	0.04	-0.22	-0.36	-	-0.1	-0.32	0.04
YAL044C	0.05	-0.35	-0.25	-0.09	-0.06	-0.33	-0.22
YAL045C	-0.07	-0.34	-0.12	-0.01	-0.07	-0.29	-0.12
YAL046C	0.08	-0.34	-0.45	-0.13	-0.12	-0.21	-0.16
YAL047C	0.05	-0.32	-0.01	-	-0.04	-0.14	0.1
YAL048C	0.11	0.37	0.04	-0.18	0.05	0.01	0.08
YAL049C	-0.25	-0.07	0.32	-0.05	-0.16	0.01	0.26
YAL051W	0.07	-0.03	-0.1	-0.13	0.05	-0.24	-0.14
YAL053W	0.18	-0.3	-0.13	-0.11	-0.21	-0.04	-0.19
YAL054C	0.14	0.13	-0.07	-0.2	0.05	-0.1	-0.12
YAL055W	0.14	-0.19	-0.22	-0.12	-0.33	-0.37	-0.57
YAL056W	0.23	0.06	-0.1	-0.13	-0.02	-0.07	0.03
YAL058C-A	-	-	-	-	-	-	-
YAL058W	-0.05	-0.16	-0.27	-0.04	-0.19	-0.19	-0.12
YAL059W	-0.01	-0.52	-0.5	-0.34	0.04	-0.06	0.08
YAL060W	-	0.28	-0.02	0.08	-0.22	-0.12	-0.42
YAL061W	0.51	1.17	0.03	0.11	-0.15	-0.12	-0.18
YAL062W	0.32	-0.05	-0.47	-0.3	-0.37	0.05	-0.38
