ORF	Hypo-osmoticShock 5m	Hypo-osmoticShock 15m	Hypo-osmoticShock 30m	Hypo-osmoticShock 45m	Hypo-osmoticShock 60m
YAL001C	-0.71	0.22	-0.02	0.15	0.84
YAL002W	0.34	-0.04	-0.75	1.68	0.23
YAL003W	0.75	0.62	0.7	1.06	0.93
YAL004W	-	0.01	0.02	0.77	0.18
YAL005C	0.54	0.24	0.37	0.86	0.9
YAL007C	-0.2	-0.03	0.01	0.25	0.1
YAL008W	0.48	0.58	0.04	0.61	0.41
YAL009W	-0.32	-0.3	-0.68	0.58	0.11
YAL010C	0.28	0.37	0.19	0.73	0.43
YAL011W	-0.38	0.44	0.25	0.34	0.51
YAL012W	0.69	0.97	0.84	1.33	0.77
YAL013W	-0.47	-0.12	-0.51	-0.25	0.06
YAL014C	0.24	0.29	0.19	0.31	0.28
YAL015C	-0.01	-0.04	-0.2	-0.07	-0.06
YAL016W	0.59	0.54	0.11	0.52	0.56
YAL017W	0.77	-0.27	-0.1	0.31	0.66
YAL018C	0.65	-0.14	-0.47	0.12	0.6
YAL019W	0.14	0.38	-0.93	0.8	0.32
YAL020C	0.1	-0.3	-0.35	-0.49	0.96
YAL021C	0.54	0.19	-0.26	0.67	0.45
YAL022C	0.37	0.58	-0.06	0.01	0.14
YAL023C	0.21	0.3	-0.37	0.63	0.68
YAL024C	0.2	0.42	-0.38	0.77	0.47
YAL025C	0.28	1.2	0.8	0.79	0.58
YAL026C	0.8	0.41	0.55	0.77	1.11
YAL027W	-0.09	-0.34	0.08	-0.34	0.04
YAL028W	-0.18	-0.12	-0.23	-	-0.03
YAL029C	0.19	0.3	0.32	0.34	0.44
YAL030W	0.03	-0.07	-0.47	-0.18	-0.18
YAL031C	0.72	0.1	0.57	0.55	0.77
YAL032C	-0.2	-0.12	-0.34	0.12	0.04
YAL033W	0.33	0.17	0.66	0.33	0.47
YAL034C	0.12	0.04	0.31	0.49	0.36
YAL034W-A	-0.45	-0.25	-	0.04	0.18
YAL035C-A	0.1	0.15	0.14	0.2	0.14
YAL035W	0.18	0.55	0.66	0.48	0.38
YAL036C	-0.06	0.84	0.65	0.25	0.08
YAL037W	-0.2	-0.23	-0.23	-0.1	-0.25
YAL038W	0.43	0.58	0.55	0.53	0.39
YAL039C	0.29	0.42	-0.04	-0.14	-0.18
YAL040C	-0.34	0.39	0.24	0.28	0.12
YAL041W	0.28	0.26	0.21	0.39	0.19
YAL042W	-0.12	0.34	-0.32	-	0.07
YAL043C	0.19	0.11	0.42	0.33	0.43
YAL043C-A	-0.22	-0.15	-0.45	-0.12	0.11
YAL044C	0.38	0.37	0.34	-	0.01
YAL045C	0.26	0.37	0.14	0.16	0.21
YAL046C	0.14	0.38	0.18	0.12	0.2
YAL047C	0.49	-0.01	0.3	0.04	0.39
YAL048C	0.57	0.58	0.28	0.88	1.16
YAL049C	0.45	0.12	0.11	0.4	0.11
YAL051W	0.65	0.19	0.41	0.45	0.79
YAL053W	0.71	0.65	0.35	0.79	0.37
YAL054C	0.56	-0.12	0.3	2.44	1.04
YAL055W	0.41	-0.14	-0.25	0.31	-0.04
YAL056W	0.6	0.28	0.91	0.96	0.48
