ORF	Menadione 10m	Menadione 20m 	Menadione 30m 	Menadione 40m 	Menadione 50m	Menadione 80m 	Menadione 105m 	Menadione 120m	Menadione 160m 
YAL001C	-0.05	0.32	-0.54	-0.28	-0.15	1.34	0.29	0.59	-0.43
YAL002W	0.17	0.37	-0.05	0.13	-0.01	-0.17	0.36	0.22	-
YAL003W	-0.51	-0.74	-1.32	-	-	-	-0.47	-	-0.81
YAL004W	0.2	0.07	-0.01	-0.17	-0.2	-0.43	-0.34	0.12	-0.21
YAL005C	-0.01	0.25	-0.71	-0.49	-	-	-0.43	-	-1.06
YAL007C	0.08	0.34	0.15	-	-0.01	0.28	0.36	0.25	0.46
YAL008W	0.2	0.25	-0.54	-	-	-	-0.34	-	0.07
YAL009W	0.11	-0.48	-0.43	-0.46	-0.2	-0.91	-0.26	-0.37	-0.32
YAL010C	0.11	0.45	-0.07	-	-	-	-	-2.56	0.1
YAL011W	-	0.32	-0.43	0.1	-0.09	-0.07	0.01	-	-
YAL012W	-0.42	-0.42	-0.79	-0.81	-	-	-	-	-0.58
YAL013W	-	-	-	-	-	-	-	-	-
YAL014C	0.04	-0.09	-0.92	0.15	-0.36	-0.81	0.16	0.11	-0.07
YAL015C	0.07	0.29	0.03	-	0.31	0.25	0.3	-0.29	0.4
YAL016W	0.31	0.88	0.65	0.72	0.65	1.01	-	0.88	0.32
YAL017W	0.25	0.66	0.45	0.57	0.38	0.61	0.74	0.81	0.49
YAL018C	-0.14	0.77	-	0.32	0.58	1.01	-	0.2	0.19
YAL019W	-0.49	-0.23	-0.23	-0.36	-0.18	-0.28	-0.2	-0.28	-0.07
YAL020C	-0.31	0.01	-0.84	-0.54	-0.53	0.29	-0.69	-0.2	-0.58
YAL021C	0.67	0.48	0.09	0.08	0.21	0.34	0.13	0.13	0.59
YAL022C	-0.2	0.36	-1.15	0.21	0.01	-0.14	0.3	0.65	-
YAL023C	-0.3	0.08	-0.39	-0.31	-0.15	0.26	0.16	-0.23	-0.56
YAL024C	-0.63	0.12	-0.22	-0.01	-0.2	-0.44	0.32	0.63	-0.23
YAL025C	-	-	-	-	-	-	-	-	-
YAL026C	0.34	0.03	0.03	0.07	-	0.16	0.08	0.36	-0.15
YAL027W	0.16	0.62	0.49	0.55	0.14	0.55	0.34	0.43	-0.04
YAL028W	-0.09	0.15	-0.09	-0.01	-0.29	-0.3	-0.04	0.24	-0.06
YAL029C	-0.26	0.06	-0.01	-0.02	-0.13	-0.07	0.17	0.39	-0.4
YAL030W	0.14	0.64	0.44	0.54	0.32	0.23	0.2	0.4	-0.18
